Tackles,,,,,Challenges,,,,Blocks,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
39,George Baldock,gr GRE,DF,Sheffield Utd,31-039,1993,10.8,18,10,10,7,1,6,15,40,9,14,8,6,10,28,33,0,Matches
40,Carlos Baleba,cm CMR,MF,Brighton,20-105,2004,12.5,35,17,15,16,4,20,37,54.1,17,31,6,25,15,50,25,3,Matches
41,Fodé Ballo-Touré,sn SEN,"DF,MF",Fulham,27-105,1997,0.6,3,2,1,2,0,1,1,100,0,1,0,1,3,6,2,0,Matches
42,Shandon Baptiste,gd GRN,MF,Brentford,26-009,1998,2.5,4,4,2,2,0,1,5,20,4,5,1,4,3,7,6,0,Matches
43,Valentín Barco,ar ARG,DF,Brighton,19-269,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
44,Ross Barkley,eng ENG,MF,Luton Town,30-134,1993,25.8,43,17,14,20,9,9,43,20.9,34,20,7,13,24,67,47,2,Matches
45,Harvey Barnes,eng ENG,FW,Newcastle Utd,26-130,1997,6.5,4,1,1,2,1,0,1,0,1,0,0,0,2,6,1,0,Matches
46,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,35-272,1988,3.6,7,2,4,3,0,2,9,22.2,7,9,4,5,5,12,17,0,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,24-108,1999,20.6,40,23,27,12,1,16,22,72.7,6,25,9,16,25,65,71,3,Matches
48,Owen Beck,wls WAL,DF,Liverpool,21-252,2002,0.1,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0,Matches
49,Donny van de Beek,nl NED,DF,Manchester Utd,26-365,1997,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
50,Amari'i Bell,jm JAM,DF,Luton Town,29-348,1994,19.1,50,33,30,19,1,22,35,62.9,13,33,15,18,25,75,60,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,25-295,1998,9,15,9,7,6,2,6,13,46.2,7,17,2,15,7,22,13,0,Matches
52,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,23-032,2001,4.1,10,6,5,1,4,4,10,40,6,6,1,5,5,15,6,0,Matches
53,Saïd Benrahma,dz ALG,"FW,MF",West Ham,28-251,1995,6.9,8,4,5,3,0,4,15,26.7,11,8,0,8,5,13,7,0,Matches
54,Rodrigo Bentancur,uy URU,MF,Tottenham,26-297,1997,8.1,17,10,10,5,2,8,21,38.1,13,12,3,9,9,26,14,1,Matches
55,Daniel Bentley,eng ENG,GK,Wolves,30-279,1993,3.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
56,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,33-173,1990,12,13,4,6,5,2,7,15,46.7,8,13,0,13,15,28,16,0,Matches
57,Sander Berge,no NOR,MF,Burnley,26-063,1998,28.4,65,38,28,33,4,30,51,58.8,21,43,18,25,20,85,53,1,Matches
