Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
124,Danilo,br BRA,MF,Nott'ham Forest,22-354,2001,15.3,469,596,78.7,8343,2298,204,241,84.6,197,223,88.3,55,90,61.1,1,1,0.5,0,10,62,11,0,61,Matches
125,Arnaut Danjuma,nl NED,"MF,FW",Everton,27-077,1997,6.6,102,152,67.1,1420,357,57,69,82.6,37,54,68.5,2,7,28.6,0,1.1,0.4,-1.1,6,6,2,0,9,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
126,Jayden Danns,eng ENG,FW,Liverpool,18-092,2006,0.1,5,7,71.4,73,16,3,4,75,2,3,66.7,0,0,,0,0,0,0,0,0,1,0,1,Matches
127,Josh Dasilva,eng ENG,"DF,FW",Brentford,25-177,1998,0.3,10,19,52.6,153,59,5,7,71.4,5,7,71.4,0,2,0,0,0.2,0.2,-0.2,1,0,0,0,2,Matches
128,David Datro Fofana,ci CIV,FW,Burnley,21-117,2002,9,106,155,68.4,1419,312,62,86,72.1,30,39,76.9,5,6,83.3,1,1.8,0.2,-0.8,6,8,4,1,13,Matches
129,Ben Davies,wls WAL,DF,Tottenham,30-359,1993,11.1,730,804,90.8,13349,5172,280,300,93.3,377,398,94.7,60,79,75.9,0,0.4,0.5,-0.4,4,79,4,0,71,Matches
130,Tom Davies,eng ENG,MF,Sheffield Utd,25-292,1998,2.5,68,99,68.7,901,310,41,50,82,20,27,74.1,2,7,28.6,0,0.1,0.2,-0.1,1,6,1,0,8,Matches
131,Craig Dawson,eng ENG,DF,Wolves,33-347,1990,24.5,1104,1277,86.5,23417,8062,296,333,88.9,640,679,94.3,158,237,66.7,1,1.4,0.6,-0.4,9,52,2,0,49,Matches
132,Kevin De Bruyne,be BEL,MF,Manchester City,32-294,1991,8.4,485,666,72.8,7839,2456,278,316,88,149,205,72.7,48,103,46.6,6,7.8,5,-1.8,42,52,41,9,80,Matches
133,Hannes Delcroix,be BEL,DF,Burnley,25-049,1999,6.5,300,350,85.7,4932,1666,145,155,93.5,135,154,87.7,16,31,51.6,0,0.2,0.1,-0.2,4,24,3,2,18,Matches
134,Leander Dendoncker,be BEL,MF,Aston Villa,29-002,1995,1.3,45,56,80.4,744,139,24,28,85.7,19,22,86.4,2,4,50,0,0,0,0,0,1,0,0,3,Matches
135,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24-285,1999,19.8,410,520,78.8,5824,1075,240,284,84.5,139,177,78.5,15,27,55.6,7,5.4,3.8,1.6,39,23,35,9,57,Matches
136,Amad Diallo,ci CIV,FW,Manchester Utd,21-281,2002,1,46,53,86.8,563,70,33,37,89.2,10,11,90.9,0,0,,0,0.1,0.2,-0.1,1,3,0,0,2,Matches
137,Amadou Diallo,eng ENG,MF,Newcastle Utd,21-062,2003,0,1,1,100,10,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
138,Rúben Dias,pt POR,DF,Manchester City,26-339,1997,25.4,2271,2425,93.6,39482,12354,952,988,96.4,1160,1204,96.3,134,189,70.9,0,0.3,1.3,-0.3,6,211,10,2,166,Matches
139,Luis Díaz,co COL,FW,Liverpool,27-095,1997,24.1,727,873,83.3,11215,2413,419,463,90.5,223,263,84.8,58,74,78.4,4,4.2,3.6,-0.2,45,52,34,2,93,Matches
140,Eric Dier,eng ENG,DF,Tottenham,30-093,1994,2.2,125,141,88.7,2070,1037,52,57,91.2,69,72,95.8,3,10,30,0,0,0,0,0,3,0,0,3,Matches
141,Lucas Digne,fr FRA,DF,Aston Villa,30-272,1993,21.8,848,1127,75.2,13522,4674,441,500,88.2,339,440,77,53,118,44.9,3,3.2,2.9,-0.2,31,40,32,14,69,Matches
142,Issa Diop,fr FRA,DF,Fulham,27-099,1997,12.8,804,910,88.4,14951,5431,284,307,92.5,466,499,93.4,47,82,57.3,0,0,0.4,0,0,55,2,0,64,Matches
143,Axel Disasi,fr FRA,DF,Chelsea,26-037,1998,27.6,1930,2154,89.6,32493,11073,836,872,95.9,994,1067,93.2,85,167,50.9,0,0.3,1,-0.3,3,112,8,1,111,Matches
144,Ben Doak,sct SCO,FW,Liverpool,18-158,2005,0.2,4,4,100,45,8,4,4,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
145,Lewis Dobbin,eng ENG,MF,Everton,21-105,2003,2.3,37,57,64.9,464,94,26,30,86.7,8,15,53.3,2,5,40,0,0.4,0.1,-0.4,3,0,3,1,3,Matches
146,Matt Doherty,ie IRL,"DF,MF",Wolves,32-092,1992,9.3,340,438,77.6,5173,1396,199,239,83.3,106,128,82.8,25,44,56.8,0,1,0.8,-1,10,17,6,1,20,Matches
147,Jeremy Doku,be BEL,"FW,MF",Manchester City,21-326,2002,15.5,618,761,81.2,8676,1406,400,447,89.5,179,231,77.5,24,31,77.4,7,4.1,5.1,2.9,41,9,40,7,56,Matches
148,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,25-294,1998,15.7,637,756,84.3,9639,2843,340,381,89.2,227,269,84.4,38,51,74.5,2,1,1.3,1,10,52,16,1,83,Matches
149,Jamie Donley,eng ENG,FW,Tottenham,19-105,2005,0,1,1,100,14,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
150,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,31-107,1993,23.9,544,713,76.3,7693,1864,303,361,83.9,187,228,82,23,50,46,0,2.6,1.3,-2.6,30,36,14,1,82,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
151,Cheick Doucouré,ml MLI,MF,Crystal Palace,24-100,2000,10.2,367,422,87,5725,1849,200,222,90.1,146,165,88.5,18,24,75,0,0.7,0.8,-0.7,10,39,5,0,49,Matches
152,Alfie Doughty,eng ENG,DF,Luton Town,24-118,1999,27.6,948,1431,66.2,17533,6851,440,504,87.3,347,465,74.6,138,359,38.4,7,5.4,4.7,1.6,59,59,29,16,85,Matches
153,Tommy Doyle,eng ENG,MF,Wolves,22-183,2001,11.8,701,835,84,13374,3710,273,292,93.5,310,345,89.9,97,158,61.4,0,0.4,0.7,-0.4,7,75,7,2,70,Matches
154,Radu Drăgușin,ro ROU,DF,Tottenham,22-074,2002,2.6,159,183,86.9,2766,833,62,71,87.3,92,98,93.9,3,9,33.3,0,0,0,0,0,6,0,0,5,Matches
155,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35-093,1989,17.1,396,506,78.3,9168,5264,99,101,98,209,211,99.1,86,191,45,0,0.1,0,-0.1,1,1,0,0,0,Matches
156,Paul Dummett,wls WAL,DF,Newcastle Utd,32-204,1991,0.2,20,22,90.9,307,69,9,9,100,11,12,91.7,0,1,0,0,0,0,0,0,2,0,0,1,Matches
157,Lewis Dunk,eng ENG,DF,Brighton,32-148,1991,27.4,2677,2905,92.2,45833,17752,1225,1260,97.2,1194,1265,94.4,198,304,65.1,1,0.9,2.2,0.1,13,194,8,1,147,Matches
158,Jhon Durán,co COL,"FW,MF",Aston Villa,20-126,2003,3.8,61,91,67,815,169,36,50,72,19,22,86.4,2,3,66.7,0,0.2,0.2,-0.2,3,6,1,0,8,Matches
159,George Earthy,eng ENG,FW,West Ham,19-225,2004,0.1,5,5,100,61,13,3,3,100,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
160,Ederson,br BRA,GK,Manchester City,30-244,1993,26.7,923,1061,87,22605,15363,230,231,99.6,474,484,97.9,217,341,63.6,0,0.1,0.1,-0.1,1,22,1,0,4,Matches
161,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,26-092,1998,16.1,223,320,69.7,2792,633,147,186,79,56,75,74.7,6,10,60,0,1.1,1,-1.1,16,10,14,1,34,Matches
162,John Egan,ie IRL,DF,Sheffield Utd,31-180,1992,5.4,128,185,69.2,2449,988,38,49,77.6,79,92,85.9,9,38,23.7,0,0,0,0,0,5,1,0,5,Matches
163,Hjalmar Ekdal,se SWE,DF,Burnley,25-179,1998,4.3,164,187,87.7,2987,824,53,57,93,97,106,91.5,11,16,68.8,0,0.1,0,-0.1,1,8,0,0,10,Matches
164,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,21-356,2002,23.9,437,629,69.5,5920,1445,274,341,80.4,128,192,66.7,15,25,60,8,5.9,3.3,2.1,29,27,23,5,46,Matches
165,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-013,2003,10.1,541,656,82.5,8716,1991,292,324,90.1,192,222,86.5,43,72,59.7,2,2.6,3.1,-0.6,23,49,30,8,80,Matches
166,Mohamed Elneny,eg EGY,MF,Arsenal,31-281,1992,0.3,39,40,97.5,624,147,18,19,94.7,21,21,100,0,0,,0,0,0,0,0,2,0,0,1,Matches
167,Emerson,br BRA,DF,Tottenham,25-094,1999,11.1,839,926,90.6,12109,3417,477,499,95.6,295,316,93.4,31,44,70.5,0,0.4,0.8,-0.4,2,39,7,2,46,Matches
168,Julio Enciso,py PAR,"MF,FW",Brighton,20-085,2004,2.6,48,74,64.9,635,182,31,38,81.6,13,21,61.9,3,5,60,2,0.9,0.6,1.1,4,3,0,0,4,Matches
169,Wataru Endo,jp JPN,MF,Liverpool,31-068,1993,14.4,837,964,86.8,13064,3676,440,481,91.5,354,396,89.4,33,46,71.7,0,1.7,1.3,-1.7,13,81,16,2,69,Matches
170,Christian Eriksen,dk DEN,MF,Manchester Utd,32-063,1992,9.9,489,614,79.6,8076,1996,249,283,88,180,218,82.6,42,77,54.5,1,1.8,1.9,-0.8,18,52,15,3,53,Matches
171,Maxime Estève,fr FRA,DF,Burnley,21-327,2002,10.1,453,558,81.2,7678,2083,193,220,87.7,229,257,89.1,22,55,40,0,0,0.1,0,0,22,0,0,26,Matches
172,Pervis Estupiñán,ec ECU,DF,Brighton,26-087,1998,13.8,809,962,84.1,11736,3617,480,524,91.6,270,313,86.3,32,64,50,3,3.5,2.3,-0.5,26,66,25,11,83,Matches
173,Jonny Evans,nir NIR,DF,Manchester Utd,36-105,1988,12.3,546,632,86.4,9144,3132,234,256,91.4,256,280,91.4,36,63,57.1,1,1.2,0.3,-0.2,5,26,3,0,32,Matches
174,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25-293,1998,18.2,550,724,76,8818,2567,272,316,86.1,203,243,83.5,51,112,45.5,2,4,4.2,-2,44,38,30,3,75,Matches
175,Łukasz Fabiański,pl POL,GK,West Ham,38-365,1985,7,139,203,68.5,4446,3211,18,18,100,63,63,100,57,120,47.5,0,0,0,0,0,7,0,0,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
176,Romain Faivre,fr FRA,"FW,MF",Bournemouth,25-278,1998,0.4,16,21,76.2,205,90,8,10,80,5,5,100,1,3,33.3,0,0,0,0,0,2,1,0,4,Matches
177,Ansu Fati,es ESP,"MF,FW",Brighton,21-169,2002,5.6,170,200,85,2216,509,110,117,94,41,50,82,9,10,90,0,0.8,0.6,-0.8,6,13,7,0,28,Matches
178,Felipe,br BRA,DF,Nott'ham Forest,34-337,1989,4.2,183,215,85.1,3654,1412,61,70,87.1,97,105,92.4,21,33,63.6,0,0.1,0,-0.1,2,10,0,0,6,Matches
179,Evan Ferguson,ie IRL,FW,Brighton,19-181,2004,15.2,244,303,80.5,3028,349,156,180,86.7,54,63,85.7,11,15,73.3,0,0.5,0.8,-0.5,6,11,4,0,15,Matches
180,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,29-222,1994,31,1399,1925,72.7,24813,8966,684,786,87,465,612,76,196,372,52.7,6,8.8,7.7,-2.8,90,160,72,8,256,Matches
181,Enzo Fernández,ar ARG,MF,Chelsea,23-091,2001,23.8,1527,1805,84.6,28061,8221,646,711,90.9,647,726,89.1,192,266,72.2,2,3.4,3.7,-1.4,32,173,42,4,205,Matches
182,John Fleck,sct SCO,"MF,DF",Sheffield Utd,32-237,1991,1,29,40,72.5,408,88,21,27,77.8,7,9,77.8,1,2,50,0,0.4,0.3,-0.4,2,1,1,0,3,Matches
183,Mark Flekken,nl NED,GK,Brentford,30-309,1993,31.5,957,1363,70.2,27910,19189,137,139,98.6,476,481,99,341,736,46.3,1,0.4,0.2,0.6,3,34,1,0,4,Matches
184,Phil Foden,eng ENG,"FW,MF",Manchester City,23-325,2000,27.2,1279,1496,85.5,17266,3162,823,877,93.8,339,394,86,56,105,53.3,7,7,6.2,0,61,53,54,5,148,Matches
185,Wes Foderingham,eng ENG,GK,Sheffield Utd,33-094,1991,24.4,485,873,55.6,16052,12848,84,85,98.8,193,203,95.1,208,575,36.2,0,0,0.1,0,0,17,2,0,0,Matches
186,Pablo Fornals,es ESP,"MF,FW",West Ham,28-055,1996,4.7,162,210,77.1,2602,713,83,96,86.5,60,75,80,12,20,60,0,0.3,0.3,-0.3,5,19,6,1,29,Matches
187,Omari Forson,eng ENG,FW,Manchester Utd,19-272,2004,0.7,23,26,88.5,277,64,14,14,100,7,9,77.8,0,0,,1,0.2,0,0.8,2,2,1,0,2,Matches
188,Lyle Foster,za RSA,"FW,MF",Burnley,23-227,2000,16.3,229,346,66.2,3195,608,144,201,71.6,65,88,73.9,10,16,62.5,3,1.6,0.9,1.4,14,17,10,0,27,Matches
189,Matheus França,br BRA,"MF,FW",Crystal Palace,20-016,2004,2.6,51,79,64.6,910,256,20,29,69,24,29,82.8,5,13,38.5,1,0.9,0.5,0.1,6,4,2,0,8,Matches
190,Nathan Fraser,ie IRL,FW,Wolves,19-055,2005,2.1,32,40,80,372,45,23,25,92,7,10,70,0,0,,0,0.1,0,-0.1,2,0,2,0,2,Matches
191,Cody Gakpo,nl NED,"FW,MF",Liverpool,24-346,1999,13.7,306,400,76.5,4306,1317,185,220,84.1,96,137,70.1,14,17,82.4,3,1.8,1.6,1.2,18,32,24,4,61,Matches
192,Conor Gallagher,eng ENG,MF,Chelsea,24-071,2000,27.9,1454,1635,88.9,21607,4812,844,899,93.9,483,526,91.8,80,122,65.6,6,4.8,3,1.2,47,108,28,3,143,Matches
193,Idrissa Gana Gueye,sn SEN,MF,Everton,34-204,1989,15.4,537,643,83.5,8420,2123,257,291,88.3,239,273,87.5,29,49,59.2,0,0.7,0.6,-0.7,10,47,6,1,56,Matches
194,Alejandro Garnacho,ar ARG,FW,Manchester Utd,19-291,2004,22.6,522,702,74.4,7308,1109,317,375,84.5,149,188,79.3,30,52,57.7,3,4.6,2.4,-1.6,38,22,18,3,52,Matches
195,James Garner,eng ENG,MF,Everton,23-035,2001,28.5,832,1081,77,14224,3976,391,450,86.9,332,386,86,84,171,49.1,2,4.3,3.4,-2.3,39,85,21,5,91,Matches
196,Saman Ghoddos,ir IRN,DF,Brentford,30-224,1993,7.9,315,436,72.2,5409,1668,156,179,87.2,130,165,78.8,26,77,33.8,0,1.1,1,-1.1,9,27,10,4,33,Matches
197,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,24-081,2000,30.1,853,1240,68.8,14927,5038,416,514,80.9,275,365,75.3,123,253,48.6,7,7,5.7,0,61,95,32,9,142,Matches
198,Bryan Gil,es ESP,"FW,MF",Tottenham,23-066,2001,2.2,113,140,80.7,1619,284,61,73,83.6,48,55,87.3,1,2,50,0,0.1,0.2,-0.1,3,5,6,1,11,Matches
199,Alfie Gilchrist,eng ENG,DF,Chelsea,20-141,2003,0.5,43,52,82.7,618,138,27,34,79.4,16,17,94.1,0,0,,0,0,0,0,0,1,0,0,1,Matches
200,Billy Gilmour,sct SCO,MF,Brighton,22-311,2001,19.8,1649,1809,91.2,25332,6471,892,925,96.4,615,663,92.8,88,143,61.5,1,2,2.1,-1,20,156,28,2,165,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
201,Ben Godfrey,eng ENG,DF,Everton,26-093,1998,9.4,268,386,69.4,4662,1933,110,138,79.7,132,169,78.1,19,51,37.3,0,0.3,0.4,-0.3,3,23,5,2,34,Matches
202,André Gomes,pt POR,"MF,FW",Everton,30-262,1993,4.3,164,214,76.6,3002,784,77,94,81.9,63,73,86.3,21,39,53.8,0,0.4,0.3,-0.4,4,17,6,1,30,Matches
203,João Gomes,br BRA,MF,Wolves,23-065,2001,23.7,861,1040,82.8,12382,3377,497,556,89.4,280,328,85.4,37,71,52.1,1,1,1.5,0,15,54,19,5,81,Matches
204,Toti Gomes,pt POR,DF,Wolves,25-092,1999,24.8,1246,1525,81.7,18944,7058,651,717,90.8,513,608,84.4,44,124,35.5,3,1.1,0.6,1.9,4,67,6,1,69,Matches
205,Joe Gomez,eng ENG,DF,Liverpool,26-330,1997,18.2,1026,1241,82.7,17632,4608,470,521,90.2,463,544,85.1,78,122,63.9,1,1.3,1,-0.3,22,78,18,5,95,Matches
206,Sergio Gómez,es ESP,FW,Manchester City,23-226,2000,0.5,35,43,81.4,498,65,22,24,91.7,11,13,84.6,1,2,50,1,0.2,0.2,0.8,1,0,2,1,2,Matches
207,Anthony Gordon,eng ENG,FW,Newcastle Utd,23-053,2001,27.3,646,835,77.4,9437,2506,400,458,87.3,171,225,76,48,91,52.7,8,6.3,4.3,1.7,41,38,34,10,82,Matches
208,Kaide Gordon,eng ENG,FW,Liverpool,19-195,2004,0,1,1,100,16,11,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,1,Matches
209,Daniel Gore,eng ENG,MF,Manchester Utd,19-204,2004,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
210,Ryan Gravenberch,nl NED,MF,Liverpool,21-337,2002,10.1,336,409,82.2,4484,1409,219,252,86.9,96,108,88.9,7,8,87.5,0,0.8,0.9,-0.8,11,29,20,0,64,Matches
211,Ivo Grbić,hr CRO,GK,Sheffield Utd,28-090,1996,7.6,117,255,45.9,4557,3932,15,15,100,32,37,86.5,69,199,34.7,0,0,0,0,0,0,0,0,0,Matches
212,Jack Grealish,eng ENG,FW,Manchester City,28-220,1995,10.2,454,533,85.2,6403,975,275,301,91.4,142,160,88.8,20,29,69,1,2.5,2.7,-1.5,25,12,22,0,45,Matches
213,Pascal Groß,de GER,"MF,DF",Brighton,32-307,1991,28.6,2355,2746,85.8,36558,11319,1336,1415,94.4,787,894,88,162,310,52.3,10,7.3,7.9,2.7,90,207,65,22,269,Matches
214,Marc Guéhi,eng ENG,DF,Crystal Palace,23-279,2000,21.2,1073,1239,86.6,21710,7619,331,370,89.5,611,647,94.4,124,203,61.1,1,0.5,0.9,0.5,5,80,4,0,58,Matches
215,Bruno Guimarães,br BRA,MF,Newcastle Utd,26-153,1997,30.3,1589,1879,84.6,27585,7548,733,808,90.7,654,745,87.8,153,233,65.7,6,5.2,5.3,0.8,50,150,55,4,229,Matches
216,Malo Gusto,fr FRA,DF,Chelsea,20-334,2003,17.9,1134,1314,86.3,16114,4675,701,766,91.5,363,418,86.8,45,69,65.2,5,3.8,2.7,1.2,30,46,27,13,81,Matches
217,Joško Gvardiol,hr CRO,DF,Manchester City,22-085,2002,19.9,1322,1513,87.4,20236,5087,711,770,92.3,509,565,90.1,62,88,70.5,1,1.3,1.8,-0.3,15,124,11,3,110,Matches
218,Erling Haaland,no NOR,FW,Manchester City,23-271,2000,24.2,241,320,75.3,2692,452,158,196,80.6,50,61,82,5,8,62.5,5,4.2,2.1,0.8,28,14,9,0,18,Matches
219,Antwoine Hackford,eng ENG,FW,Sheffield Utd,20-028,2004,0.1,2,2,100,14,0,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
220,Lewis Hall,eng ENG,DF,Newcastle Utd,19-222,2004,3.5,168,215,78.1,2706,926,89,99,89.9,68,83,81.9,10,21,47.6,0,0.1,0.4,-0.1,1,12,2,1,17,Matches
221,Gustavo Hamer,nl NED,MF,Sheffield Utd,26-298,1997,26.6,612,902,67.8,10107,3781,303,371,81.7,212,278,76.3,64,181,35.4,5,3.7,3.2,1.3,47,67,26,5,99,Matches
222,Luke Harris,wls WAL,MF,Fulham,19-014,2005,0.8,11,14,78.6,172,14,5,8,62.5,4,4,100,1,1,100,0,0,0,0,0,0,1,0,1,Matches
223,Jack Harrison,eng ENG,"MF,FW",Everton,27-149,1996,20.6,333,524,63.5,4754,1923,197,242,81.4,106,164,64.6,18,57,31.6,3,3.1,2.5,-0.1,21,28,32,9,52,Matches
224,Daiki Hashioka,jp JPN,DF,Luton Town,24-336,1999,4.7,145,188,77.1,2508,941,63,69,91.3,67,80,83.8,12,27,44.4,0,0.2,0.2,-0.2,1,11,2,1,18,Matches
225,Kai Havertz,de GER,"MF,FW",Arsenal,24-311,1999,23.5,630,769,81.9,8029,2016,428,489,87.5,171,208,82.2,5,11,45.5,5,2.7,3,2.3,34,54,25,1,88,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
226,Jan Paul van Hecke,nl NED,DF,Brighton,23-314,2000,25.3,2171,2351,92.3,37397,14417,919,968,94.9,1076,1146,93.9,135,182,74.2,0,0.8,1.1,-0.8,9,154,10,1,146,Matches
227,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,28-082,1996,18.4,353,456,77.4,4781,844,213,258,82.6,108,135,80,13,18,72.2,3,2.9,2.5,0.1,15,16,6,2,29,Matches
228,Dean Henderson,eng ENG,GK,Crystal Palace,27-036,1997,12,184,329,55.9,5208,3824,42,43,97.7,86,88,97.7,54,195,27.7,0,0,0,0,0,7,1,0,0,Matches
229,Rico Henry,eng ENG,DF,Brentford,26-284,1997,4.5,147,183,80.3,2291,763,82,94,87.2,51,61,83.6,11,19,57.9,1,1,0.8,0,4,10,7,2,20,Matches
230,Son Heung-min,kr KOR,FW,Tottenham,31-284,1992,26.6,695,851,81.7,9525,2328,415,483,85.9,231,262,88.2,20,33,60.6,9,8.7,7,0.3,53,35,54,2,112,Matches
231,Aaron Hickey,sct SCO,DF,Brentford,21-312,2002,7.9,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,70,0,0.1,0.1,-0.1,1,10,2,0,21,Matches
232,James Hill,eng ENG,DF,Bournemouth,22-098,2002,0.8,27,41,65.9,530,231,12,15,80,8,13,61.5,5,10,50,0,0,0,0,0,6,0,0,4,Matches
233,Jack Hinshelwood,eng ENG,DF,Brighton,19-006,2005,9.7,418,498,83.9,5999,1172,233,267,87.3,156,175,89.1,9,22,40.9,0,0.7,0.4,-0.7,8,24,5,1,19,Matches
234,Mason Holgate,eng ENG,DF,Sheffield Utd,27-178,1996,5.9,100,159,62.9,1967,977,45,58,77.6,35,55,63.6,18,40,45,0,0.4,0.2,-0.4,1,15,2,2,10,Matches
235,Callum Hudson-Odoi,eng ENG,FW,Nott'ham Forest,23-162,2000,15.8,442,569,77.7,6945,1306,253,280,90.4,139,189,73.5,37,64,57.8,1,2.1,1.4,-1.1,26,15,23,6,43,Matches
236,Will Hughes,eng ENG,MF,Crystal Palace,29-000,1995,17.2,574,696,82.5,8380,2341,308,346,89,221,250,88.4,23,55,41.8,0,0.8,1.5,-0.8,17,58,15,2,56,Matches
237,Pierre Højbjerg,dk DEN,MF,Tottenham,28-256,1995,12.3,1034,1184,87.3,16737,6092,547,602,90.9,367,400,91.8,82,118,69.5,0,0.9,1.4,-0.9,7,131,9,0,111,Matches
238,Rasmus Højlund,dk DEN,FW,Manchester Utd,21-073,2003,20,261,343,76.1,3052,806,166,206,80.6,50,66,75.8,10,11,90.9,2,1.5,0.8,0.5,24,11,13,1,29,Matches
239,Igor,br BRA,DF,Brighton,26-070,1998,13,1057,1131,93.5,16615,5093,523,544,96.1,479,498,96.2,40,52,76.9,0,0.3,0.3,-0.3,5,93,2,0,89,Matches
240,Danny Ings,eng ENG,FW,West Ham,31-269,1992,3.9,63,93,67.7,692,119,33,43,76.7,16,20,80,0,7,0,0,0.3,0.2,-0.3,5,1,2,0,5,Matches
241,Tim Iroegbunam,eng ENG,MF,Aston Villa,20-292,2003,1.4,37,41,90.2,536,182,20,21,95.2,16,17,94.1,0,0,,0,0,0,0,0,0,0,0,1,Matches
242,Alexander Isak,se SWE,FW,Newcastle Utd,24-209,1999,19.6,290,374,77.5,4256,903,171,201,85.1,95,115,82.6,13,20,65,1,1.9,1.9,-0.9,19,23,16,0,56,Matches
243,Alex Iwobi,ng NGA,MF,Everton,27-350,1996,1.6,27,42,64.3,545,179,13,14,92.9,7,10,70,7,15,46.7,0,0.2,0.4,-0.2,4,1,3,1,4,Matches
244,Alex Iwobi,ng NGA,"FW,MF",Fulham,27-350,1996,19.4,683,864,79.1,11255,3572,337,375,89.9,267,328,81.4,56,97,57.7,2,4.1,3.3,-2.1,39,69,40,6,130,Matches
245,Nicolas Jackson,sn SEN,FW,Chelsea,22-302,2001,24.1,394,508,77.6,4832,1235,249,295,84.4,89,117,76.1,14,19,73.7,4,3.6,2.5,0.4,28,27,18,0,52,Matches
246,Reece James,eng ENG,DF,Chelsea,24-131,1999,4.3,253,315,80.3,4003,1214,134,153,87.6,94,117,80.3,17,31,54.8,1,1.5,1.2,-0.5,10,18,6,3,20,Matches
247,Vitaly Janelt,de GER,"MF,DF",Brentford,25-343,1998,29.7,935,1210,77.3,15017,4538,497,577,86.1,334,424,78.8,74,134,55.2,2,4,2.9,-2,31,93,29,12,108,Matches
248,Mathias Jensen,dk DEN,MF,Brentford,28-107,1996,21.6,755,1047,72.1,15209,5525,303,358,84.6,296,386,76.7,135,239,56.5,3,3.5,4.1,-0.5,37,77,32,8,106,Matches
249,Gabriel Jesus,br BRA,FW,Arsenal,27-014,1997,15,356,449,79.3,4720,890,226,264,85.6,99,124,79.8,10,15,66.7,3,3.5,3,-0.5,26,18,16,1,39,Matches
250,Raúl Jiménez,mx MEX,FW,Fulham,32-348,1991,14.2,227,339,67,2976,599,139,175,79.4,49,83,59,15,29,51.7,0,1.4,0.9,-1.4,10,20,9,1,19,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
251,João Pedro,br BRA,"FW,MF",Brighton,22-204,2001,17.8,525,654,80.3,6853,1388,341,388,87.9,143,177,80.8,16,31,51.6,2,2.7,3.2,-0.7,26,34,35,1,72,Matches
252,Joelinton,br BRA,"MF,FW",Newcastle Utd,27-247,1996,12.6,440,528,83.3,6118,1514,261,296,88.2,138,156,88.5,16,19,84.2,1,2,0.7,-1,18,32,8,0,47,Matches
