Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,19-348,2004,5.1,134,173,77.5,2221,721,72,83,86.7,49,58,84.5,12,25,48,0,0.3,0.2,-0.3,7,16,1,0,16,Matches
30,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,22-271,2001,16.3,226,279,81,2709,401,150,176,85.2,50,54,92.6,4,8,50,1,2.3,0.9,-1.3,18,8,6,1,12,Matches
31,Cameron Archer,eng ENG,MF,Aston Villa,22-271,2001,0.1,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
32,Alphonse Areola,fr FRA,GK,West Ham,31-050,1993,26,488,752,64.9,15430,11257,62,64,96.9,217,218,99.5,207,464,44.6,0,0,0,0,0,7,0,0,1,Matches
33,Lorenz Assignon,tg TOG,DF,Burnley,23-300,2000,9.2,216,309,69.9,3221,1301,117,146,80.1,87,117,74.4,6,23,26.1,1,2.2,1.2,-1.2,10,13,6,4,19,Matches
34,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,31-115,1992,9.3,348,448,77.7,5238,2147,191,225,84.9,130,156,83.3,17,45,37.8,2,0.5,0.5,1.5,4,31,9,4,47,Matches
35,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,26-249,1997,11.4,122,170,71.8,1557,307,84,107,78.5,34,47,72.3,3,5,60,3,1.7,0.9,1.3,10,6,3,0,14,Matches
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32-219,1991,26.3,600,813,73.8,8621,1776,370,426,86.9,184,247,74.5,23,68,33.8,6,4,2.6,2,23,38,25,10,62,Matches
37,Benoît Badiashile,fr FRA,DF,Chelsea,23-022,2001,8.2,596,655,91,10513,4178,248,260,95.4,303,326,92.9,39,55,70.9,1,0.5,0.7,0.5,3,36,2,0,30,Matches
38,Leon Bailey,jm JAM,"MF,FW",Aston Villa,26-252,1997,19.2,494,684,72.2,7746,2057,281,341,82.4,157,207,75.8,43,70,61.4,8,7.3,6,0.7,43,28,37,7,63,Matches
39,George Baldock,gr GRE,DF,Sheffield Utd,31-039,1993,10.8,291,397,73.3,4602,1810,169,191,88.5,100,124,80.6,18,52,34.6,1,0.8,0.6,0.2,7,18,11,4,31,Matches
40,Carlos Baleba,cm CMR,MF,Brighton,20-105,2004,12.5,634,687,92.3,9429,2018,350,373,93.8,245,256,95.7,21,26,80.8,0,0.2,0.2,-0.2,7,35,2,0,45,Matches
41,Fodé Ballo-Touré,sn SEN,"DF,MF",Fulham,27-105,1997,0.6,50,70,71.4,881,200,21,27,77.8,23,30,76.7,5,6,83.3,0,0,0,0,0,3,0,0,0,Matches
42,Shandon Baptiste,gd GRN,MF,Brentford,26-009,1998,2.5,66,90,73.3,1144,351,33,39,84.6,25,28,89.3,7,15,46.7,1,0.2,0.4,0.8,4,7,3,2,5,Matches
43,Valentín Barco,ar ARG,DF,Brighton,19-269,2004,0,2,4,50,23,20,2,2,100,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,Matches
44,Ross Barkley,eng ENG,MF,Luton Town,30-134,1993,25.8,1058,1289,82.1,18776,5743,478,534,89.5,406,454,89.4,130,205,63.4,4,3.7,2.5,0.3,42,121,24,1,142,Matches
45,Harvey Barnes,eng ENG,FW,Newcastle Utd,26-130,1997,6.5,148,196,75.5,2102,578,94,108,87,48,61,78.7,4,12,33.3,2,2.5,1.7,-0.5,10,9,14,1,26,Matches
46,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,35-272,1988,3.6,103,138,74.6,1506,484,62,70,88.6,31,45,68.9,6,14,42.9,0,0.3,0.1,-0.3,2,7,2,0,7,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,24-108,1999,20.6,1191,1379,86.4,22629,7766,402,426,94.4,651,706,92.2,118,204,57.8,0,0,0.2,0,1,74,1,0,55,Matches
48,Owen Beck,wls WAL,DF,Liverpool,21-252,2002,0.1,3,4,75,31,1,2,3,66.7,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
49,Donny van de Beek,nl NED,DF,Manchester Utd,26-365,1997,0,1,1,100,7,0,1,1,100,0,0,,0,0,,0,0.1,0,-0.1,1,0,0,0,0,Matches
50,Amari'i Bell,jm JAM,DF,Luton Town,29-348,1994,19.1,645,835,77.2,10680,4470,324,372,87.1,270,315,85.7,44,108,40.7,0,0.5,0.4,-0.5,8,63,8,0,76,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,25-295,1998,9,217,278,78.1,3112,749,128,141,90.8,69,89,77.5,13,24,54.2,1,0.8,0.8,0.2,11,17,6,0,37,Matches
52,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,23-032,2001,4.1,75,119,63,1082,323,40,61,65.6,27,35,77.1,4,5,80,0,0.3,0.1,-0.3,3,5,2,0,9,Matches
53,Saïd Benrahma,dz ALG,"FW,MF",West Ham,28-251,1995,6.9,193,257,75.1,2587,504,116,138,84.1,56,76,73.7,8,15,53.3,1,1.4,0.8,-0.4,11,11,11,2,28,Matches
54,Rodrigo Bentancur,uy URU,MF,Tottenham,26-297,1997,8.1,480,576,83.3,7208,1970,269,302,89.1,178,204,87.3,22,31,71,1,0.5,0.9,0.5,8,51,10,1,53,Matches
55,Daniel Bentley,eng ENG,GK,Wolves,30-279,1993,3.3,67,98,68.4,1552,1081,22,22,100,26,26,100,18,49,36.7,0,0,0,0,0,0,0,0,0,Matches
56,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,33-173,1990,12,337,470,71.7,6388,1996,136,154,88.3,137,175,78.3,52,110,47.3,2,2.3,2.1,-0.3,31,33,16,5,52,Matches
57,Sander Berge,no NOR,MF,Burnley,26-063,1998,28.4,1071,1237,86.6,18664,3788,455,517,88,498,546,91.2,94,118,79.7,1,1.4,1,-0.4,20,90,12,1,126,Matches
58,Luke Berry,eng ENG,"MF,DF",Luton Town,31-280,1992,2.7,44,72,61.1,669,244,26,32,81.3,12,23,52.2,4,10,40,1,0.3,0.1,0.7,2,3,0,0,4,Matches
